Track_Artists,duration_ms,id,Track_Name,Album_ID,total_tracks,Album_Name,release_date,Album_Artists,Producer,Producer_ID,_merge
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",261974,56zZ48jdyY2oDXHVnwg5Di,Tum Hi Ho,0Rkv5iqjF2uenfL0OVB8hg,12,Aashiqui 2,2013-04-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",Mithoon,09UmIX92EUH9hAK4bxvHx6,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3yMmYEklQ7gLOZXEFNd3xr'}, 'href': 'https://api.spotify.com/v1/artists/3yMmYEklQ7gLOZXEFNd3xr', 'id': '3yMmYEklQ7gLOZXEFNd3xr', 'name': 'Palak Muchhal', 'type': 'artist', 'uri': 'spotify:artist:3yMmYEklQ7gLOZXEFNd3xr'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",304899,6UgcN95w7vQxkR8sEFmwHG,Chahun Main Ya Naa,0Rkv5iqjF2uenfL0OVB8hg,12,Aashiqui 2,2013-04-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",Mithoon,09UmIX92EUH9hAK4bxvHx6,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0T1CMVkqffHlqEk4BcAph1'}, 'href': 'https://api.spotify.com/v1/artists/0T1CMVkqffHlqEk4BcAph1', 'id': '0T1CMVkqffHlqEk4BcAph1', 'name': 'Tulsi Kumar', 'type': 'artist', 'uri': 'spotify:artist:0T1CMVkqffHlqEk4BcAph1'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",306511,55eUtE9v3uatR0y0NijM6N,Hum Mar Jayenge,0Rkv5iqjF2uenfL0OVB8hg,12,Aashiqui 2,2013-04-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",Mithoon,09UmIX92EUH9hAK4bxvHx6,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3yMmYEklQ7gLOZXEFNd3xr'}, 'href': 'https://api.spotify.com/v1/artists/3yMmYEklQ7gLOZXEFNd3xr', 'id': '3yMmYEklQ7gLOZXEFNd3xr', 'name': 'Palak Muchhal', 'type': 'artist', 'uri': 'spotify:artist:3yMmYEklQ7gLOZXEFNd3xr'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",266069,3E9ryvrKP3hUWX79PAakH2,Meri Aashiqui,0Rkv5iqjF2uenfL0OVB8hg,12,Aashiqui 2,2013-04-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",Mithoon,09UmIX92EUH9hAK4bxvHx6,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",214470,06zJUeKU5KFy50Cho6pDcr,Aasan Nahin Yahan,0Rkv5iqjF2uenfL0OVB8hg,12,Aashiqui 2,2013-04-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",Mithoon,09UmIX92EUH9hAK4bxvHx6,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",295798,2iGnFW7m517taq3AJIE6DK,Milne Hai Mujhse Aayi,0Rkv5iqjF2uenfL0OVB8hg,12,Aashiqui 2,2013-04-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",Mithoon,09UmIX92EUH9hAK4bxvHx6,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3qnsN7WTgndwqTiBHelp6S'}, 'href': 'https://api.spotify.com/v1/artists/3qnsN7WTgndwqTiBHelp6S', 'id': '3qnsN7WTgndwqTiBHelp6S', 'name': 'DJ Shadow Dubai', 'type': 'artist', 'uri': 'spotify:artist:3qnsN7WTgndwqTiBHelp6S'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7sooPtZ86NLzHd1nlE6xGA'}, 'href': 'https://api.spotify.com/v1/artists/7sooPtZ86NLzHd1nlE6xGA', 'id': '7sooPtZ86NLzHd1nlE6xGA', 'name': 'Dj Javed', 'type': 'artist', 'uri': 'spotify:artist:7sooPtZ86NLzHd1nlE6xGA'}]",237337,0d7cAnv2jF9H0pqNhovl7f,Tum Hi Ho (Remix),0Rkv5iqjF2uenfL0OVB8hg,12,Aashiqui 2,2013-04-06,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/09UmIX92EUH9hAK4bxvHx6'}, 'href': 'https://api.spotify.com/v1/artists/09UmIX92EUH9hAK4bxvHx6', 'id': '09UmIX92EUH9hAK4bxvHx6', 'name': 'Mithoon', 'type': 'artist', 'uri': 'spotify:artist:09UmIX92EUH9hAK4bxvHx6'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0E02VcvA5p1ndkLdqWD5JB'}, 'href': 'https://api.spotify.com/v1/artists/0E02VcvA5p1ndkLdqWD5JB', 'id': '0E02VcvA5p1ndkLdqWD5JB', 'name': 'Ankit Tiwari', 'type': 'artist', 'uri': 'spotify:artist:0E02VcvA5p1ndkLdqWD5JB'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2kkQthS9OLpK4UqNWYqoVl'}, 'href': 'https://api.spotify.com/v1/artists/2kkQthS9OLpK4UqNWYqoVl', 'id': '2kkQthS9OLpK4UqNWYqoVl', 'name': 'Jeet Gannguli', 'type': 'artist', 'uri': 'spotify:artist:2kkQthS9OLpK4UqNWYqoVl'}]",Mithoon,09UmIX92EUH9hAK4bxvHx6,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",228982,5cgKosPPj5Cs9a2JQufUc1,Ilahi,2Lxoc72vRTGdQfMvj7Ovi1,9,Yeh Jawaani Hai Deewani,2013-03-30,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}]",Pritam,1wRPtKGflJrBx9BmLsSwlU,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3eDT9fwXKuHWFvgZaaYC5v'}, 'href': 'https://api.spotify.com/v1/artists/3eDT9fwXKuHWFvgZaaYC5v', 'id': '3eDT9fwXKuHWFvgZaaYC5v', 'name': 'Sunidhi Chauhan', 'type': 'artist', 'uri': 'spotify:artist:3eDT9fwXKuHWFvgZaaYC5v'}]",260552,3W1XPf7mvuQcWQB7U7MbTM,Dilliwaali Girlfriend,2Lxoc72vRTGdQfMvj7Ovi1,9,Yeh Jawaani Hai Deewani,2013-03-30,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}]",Pritam,1wRPtKGflJrBx9BmLsSwlU,both
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3xU8YsNNkmWSPewlB18NUz'}, 'href': 'https://api.spotify.com/v1/artists/3xU8YsNNkmWSPewlB18NUz', 'id': '3xU8YsNNkmWSPewlB18NUz', 'name': 'Harshdeep Kaur', 'type': 'artist', 'uri': 'spotify:artist:3xU8YsNNkmWSPewlB18NUz'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",270438,3jJ5HgLRNydtLRghjWVaCG,Kabira (Encore),2Lxoc72vRTGdQfMvj7Ovi1,9,Yeh Jawaani Hai Deewani,2013-03-30,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU'}, 'href': 'https://api.spotify.com/v1/artists/1wRPtKGflJrBx9BmLsSwlU', 'id': '1wRPtKGflJrBx9BmLsSwlU', 'name': 'Pritam', 'type': 'artist', 'uri': 'spotify:artist:1wRPtKGflJrBx9BmLsSwlU'}]",Pritam,1wRPtKGflJrBx9BmLsSwlU,both
